metric,term,coef,stderr,pvalue,conf_low,conf_high,nobs,r2
self_bleu,Intercept,0.5016759382426934,0.044620683358711215,2.3438076493792697e-27,0.414090293404609,0.5892615830807778,832,0.919167577349047
self_bleu,C(occupation)[T.author],-0.17225336284991952,0.05087540661673273,0.0007438747479164403,-0.27211636268576483,-0.0723903630140742,832,0.919167577349047
self_bleu,C(occupation)[T.carpenter],0.12968756413446064,0.050875406616730255,0.010982558744717074,0.029824564298620196,0.2295505639703011,832,0.919167577349047
self_bleu,C(occupation)[T.doctor],0.0189025867113467,0.05087540661673208,0.7103274663370135,-0.08096041312449732,0.11876558654719073,832,0.919167577349047
self_bleu,C(occupation)[T.engineer],0.14050090508471483,0.05087540661673376,0.005880740218237015,0.0406379052488675,0.24036390492056214,832,0.919167577349047
self_bleu,C(occupation)[T.mechanic],0.1714290200945195,0.050875406616731456,0.0007883688029616415,0.07156602025867669,0.2712920199303623,832,0.919167577349047
self_bleu,C(occupation)[T.nurse],0.20593996251113675,0.05087540661673283,5.6622236053070836e-05,0.10607696267529125,0.30580296234698223,832,0.919167577349047
self_bleu,C(occupation)[T.politician],0.20950884416909632,0.050875406616732725,4.212053998535359e-05,0.10964584433325102,0.3093718440049416,832,0.919167577349047
self_bleu,C(occupation)[T.professor],-0.017610091200395472,0.05087540661673248,0.7293261297251636,-0.11747309103624029,0.08225290863544935,832,0.919167577349047
self_bleu,C(occupation)[T.programmer],0.31560206392248163,0.05087540661673303,8.799405861913723e-10,0.21573906408663573,0.41546506375832754,832,0.919167577349047
self_bleu,C(occupation)[T.scientist],0.0336610751464761,0.05087540661673267,0.5083915259764881,-0.06620192468936908,0.1335240749823213,832,0.919167577349047
self_bleu,C(occupation)[T.secretary],0.2610089369224513,0.05087540661673293,3.620849641310203e-07,0.16114593708660563,0.360871936758297,832,0.919167577349047
self_bleu,C(occupation)[T.teacher],0.17762539297639068,0.05087540661673307,0.0005064983035687274,0.0777623931405447,0.2774883928122367,832,0.919167577349047
self_bleu,is_female,-0.0531113475764197,0.039909952477029116,0.18363558948945016,-0.13145032986086452,0.02522763470802513,832,0.919167577349047
self_bleu,is_sft,-0.69622470528158,0.03990995247702926,4.1183336845828715e-58,-0.7745636875660251,-0.6178857229971348,832,0.919167577349047
self_bleu,is_dpo,-0.9794271472836014,0.03990995247702921,6.684693653249081e-100,-1.0577661295680465,-0.9010881649991563,832,0.919167577349047
