profile_id,temperature,model_key,model_name,prompt_case,gender,occupation,attended_university,self_bleu,semantic_div,mean_entropy,response_count
2,0.5,rlvr,allenai/Olmo-3-7B-Instruct,given,male,carpenter,no,0.379941308199824,0.2715273823120644,0.5709631380437997,10
2,0.5,sft,allenai/Olmo-3-7B-Instruct-SFT,given,male,carpenter,no,0.3568836750428128,0.22678787801311132,0.6286155436944673,10
2,0.7000000000000001,base,allenai/Olmo-3-1025-7B,given,male,carpenter,no,0.3687636312309214,0.3235852986521771,0.7889756383834373,10
2,0.7000000000000001,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,male,carpenter,no,0.24665239212750284,0.31278301693298877,0.9842661812209587,10
2,0.7000000000000001,rlvr,allenai/Olmo-3-7B-Instruct,given,male,carpenter,no,0.2556436892785012,0.4636825132774977,0.8768897178172976,10
2,0.7000000000000001,sft,allenai/Olmo-3-7B-Instruct-SFT,given,male,carpenter,no,0.26902161947581393,0.36732967187403226,0.983102389397058,10
2,1.0,base,allenai/Olmo-3-1025-7B,given,male,carpenter,no,0.21649600247180967,0.4071948410594318,1.8018518829345702,10
2,1.0,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,male,carpenter,no,0.11895276235591755,0.4899697943883343,1.8069160269796842,10
2,1.0,rlvr,allenai/Olmo-3-7B-Instruct,given,male,carpenter,no,0.1472891706985704,0.40655345864310616,1.579714675309757,10
2,1.0,sft,allenai/Olmo-3-7B-Instruct-SFT,given,male,carpenter,no,0.18836639260419344,0.33473482453053943,2.0013967855374015,10
3,0.2,base,allenai/Olmo-3-1025-7B,given,female,carpenter,no,0.5232854240304363,0.24675030375130527,0.1856237727953994,10
3,0.2,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,female,carpenter,no,0.4242151900609442,0.22063118604691714,0.22635647864897152,10
3,0.2,rlvr,allenai/Olmo-3-7B-Instruct,given,female,carpenter,no,0.47184368372106317,0.25595294472807634,0.20750580205838162,10
3,0.2,sft,allenai/Olmo-3-7B-Instruct-SFT,given,female,carpenter,no,0.5358398104620387,0.18198812920799148,0.229497702539815,10
3,0.5,base,allenai/Olmo-3-1025-7B,given,female,carpenter,no,0.3923985050226871,0.35953906602678065,0.54752023402048,10
3,0.5,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,female,carpenter,no,0.30564326028867167,0.3263476577797678,0.6024849645983688,10
3,0.5,rlvr,allenai/Olmo-3-7B-Instruct,given,female,carpenter,no,0.3051091388804475,0.34275802983545717,0.5513254545877563,10
3,0.5,sft,allenai/Olmo-3-7B-Instruct-SFT,given,female,carpenter,no,0.38109879407579644,0.24861276990212688,0.6456960605026193,10
3,0.7000000000000001,base,allenai/Olmo-3-1025-7B,given,female,carpenter,no,0.32895161859405414,0.36326198512700336,0.8456428924016652,10
3,0.7000000000000001,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,female,carpenter,no,0.22009029047876147,0.360939188902283,0.9359019959863518,10
3,0.7000000000000001,rlvr,allenai/Olmo-3-7B-Instruct,given,female,carpenter,no,0.21113474986804925,0.48472943856945433,0.8585348453321924,10
3,0.7000000000000001,sft,allenai/Olmo-3-7B-Instruct-SFT,given,female,carpenter,no,0.30665903453443705,0.40766593238889653,0.8264043295891337,10
3,1.0,base,allenai/Olmo-3-1025-7B,given,female,carpenter,no,0.1952191242389683,0.37363245900102265,1.7099950249989824,10
3,1.0,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,female,carpenter,no,0.1402340546633484,0.40747414286438527,1.834818234044127,10
3,1.0,rlvr,allenai/Olmo-3-7B-Instruct,given,female,carpenter,no,0.15675378665435186,0.4315871429404828,1.5355573216689127,10
3,1.0,sft,allenai/Olmo-3-7B-Instruct-SFT,given,female,carpenter,no,0.14609032199252925,0.4048791917826148,1.9555449228634434,10
4,0.2,base,allenai/Olmo-3-1025-7B,given,male,mechanic,yes,0.5575223465907869,0.19812842271918077,0.17686703592913622,10
4,0.2,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,male,mechanic,yes,0.4423825153665958,0.13118892985872502,0.20655182022829632,10
4,0.2,rlvr,allenai/Olmo-3-7B-Instruct,given,male,mechanic,yes,0.4580663930359103,0.206075466531658,0.18557406952901973,10
4,0.2,sft,allenai/Olmo-3-7B-Instruct-SFT,given,male,mechanic,yes,0.4828285028743311,0.19697710462611842,0.1919800454148921,10
4,0.5,base,allenai/Olmo-3-1025-7B,given,male,mechanic,yes,0.48594924064071826,0.23127591342582907,0.5272867173308319,10
4,0.5,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,male,mechanic,yes,0.2936355890743222,0.516248190426881,0.528412278368773,10
4,0.5,rlvr,allenai/Olmo-3-7B-Instruct,given,male,mechanic,yes,0.3715840872427744,0.5233374017080527,0.49748891033316356,10
4,0.5,sft,allenai/Olmo-3-7B-Instruct-SFT,given,male,mechanic,yes,0.34187996410128335,0.49251232580219995,0.47922984207030145,10
4,0.7000000000000001,base,allenai/Olmo-3-1025-7B,given,male,mechanic,yes,0.3794127727927377,0.3046201829503495,0.8434102922234057,10
4,0.7000000000000001,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,male,mechanic,yes,0.23090379027428007,0.3649544732215499,0.9323111448744854,10
4,0.7000000000000001,rlvr,allenai/Olmo-3-7B-Instruct,given,male,mechanic,yes,0.22009205693449824,0.4285818361577556,0.8326113963676022,10
4,0.7000000000000001,sft,allenai/Olmo-3-7B-Instruct-SFT,given,male,mechanic,yes,0.24405498145746482,0.446040072092144,0.854666764962591,10
4,1.0,base,allenai/Olmo-3-1025-7B,given,male,mechanic,yes,0.2345212331345463,0.355498683426798,1.6719365593592321,10
4,1.0,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,male,mechanic,yes,0.15903409381299902,0.4089103895088258,1.9629432944624372,10
4,1.0,rlvr,allenai/Olmo-3-7B-Instruct,given,male,mechanic,yes,0.12935043788507763,0.554386125672559,1.4171910976227369,10
4,1.0,sft,allenai/Olmo-3-7B-Instruct-SFT,given,male,mechanic,yes,0.1479708859640377,0.5003229791479835,1.5787524101374681,10
5,0.2,base,allenai/Olmo-3-1025-7B,given,female,mechanic,yes,0.5385404837185297,0.2883786965396492,0.18648266799828123,10
5,0.2,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,female,mechanic,yes,0.3902156968562823,0.26847231695959706,0.2136479641771673,10
5,0.2,rlvr,allenai/Olmo-3-7B-Instruct,given,female,mechanic,yes,0.433982352854863,0.202484545705556,0.1938970726078947,10
5,0.2,sft,allenai/Olmo-3-7B-Instruct-SFT,given,female,mechanic,yes,0.4216270886081929,0.26114311462794604,0.2331475630162198,10
5,0.5,base,allenai/Olmo-3-1025-7B,given,female,mechanic,yes,0.44327295064959904,0.28876858636619934,0.5396274970280103,10
5,0.5,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,female,mechanic,yes,0.26662407560208706,0.40278158679877446,0.5825964618789405,10
5,0.5,rlvr,allenai/Olmo-3-7B-Instruct,given,female,mechanic,yes,0.31961182367366625,0.4178538229014392,0.5289380620655193,10
5,0.5,sft,allenai/Olmo-3-7B-Instruct-SFT,given,female,mechanic,yes,0.3206673405618461,0.3374373015244581,0.6444189760898832,10
5,0.7000000000000001,base,allenai/Olmo-3-1025-7B,given,female,mechanic,yes,0.3499523493018192,0.32533683870673774,0.8179479577777281,10
5,0.7000000000000001,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,female,mechanic,yes,0.22131615138669464,0.3703250543459855,0.9121837317101681,10
5,0.7000000000000001,rlvr,allenai/Olmo-3-7B-Instruct,given,female,mechanic,yes,0.2447628047729989,0.38757553921437754,0.8888569495312562,10
