metric,nobs,r2,r2_adj,f_pvalue
self_bleu,832,0.9025417681320959,0.9015944220143033,0.0
semantic_div,832,0.4706472132586661,0.4655016211639751,2.59458444523392e-108
mean_entropy,832,0.9840070386098505,0.9838515784748308,0.0
