profile_id,temperature,model_key,model_name,prompt_case,gender,occupation,attended_university,self_bleu,semantic_div,mean_entropy,response_count,gender_norm,is_female,is_sft,is_dpo,is_rlvr,temperature_z,self_bleu_z,semantic_div_z,mean_entropy_z
0,0.2,base,allenai/Olmo-3-1025-7B,given,male,carpenter,yes,0.5380252508324097,0.10713685480035255,0.1767673600592583,10,male,0,0,0,0,-1.371163920812372,1.8007986770585245,-1.96431077253631,-1.4661654703301201
0,0.2,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,male,carpenter,yes,0.3856885293648317,0.19299514273398694,0.2069545695649178,10,male,0,0,1,0,-1.371163920812372,0.5964650093438237,-1.4307512727852796,-1.3090068848586551
0,0.2,rlvr,allenai/Olmo-3-7B-Instruct,given,male,carpenter,yes,0.44087026520222083,0.18970314803244576,0.185819284053532,10,male,0,0,0,1,-1.371163920812372,1.032717159657107,-1.4529106796871885,-1.4169181880342
0,0.2,sft,allenai/Olmo-3-7B-Instruct-SFT,given,male,carpenter,yes,0.4539446410558112,0.126668086251702,0.20274160945873582,10,male,0,1,0,0,-1.371163920812372,1.1360797033244672,-1.8518465237191948,-1.3297885454709704
0,0.5,base,allenai/Olmo-3-1025-7B,given,male,carpenter,yes,0.4618201064375765,0.1930152423927456,0.5180531005001232,10,male,0,0,0,0,-0.34279098020309323,1.1983410413446645,-1.4306156062034778,-0.28973517059306864
0,0.5,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,male,carpenter,yes,0.27786445887656874,0.3489749621466963,0.5696395232000548,10,male,0,0,1,0,-0.34279098020309323,-0.255963459826662,-0.2621793446162058,-0.1732735777386815
0,0.5,rlvr,allenai/Olmo-3-7B-Instruct,given,male,carpenter,yes,0.3044988775862292,0.5448256325730523,0.48094471517999243,10,male,0,0,0,1,-0.34279098020309323,-0.04539881813663239,1.458949347548282,-0.37939947366776855
0,0.5,sft,allenai/Olmo-3-7B-Instruct-SFT,given,male,carpenter,yes,0.3449800416151426,0.23609297021000078,0.5866238295867061,10,male,0,1,0,0,-0.34279098020309323,0.27463451511767334,-1.1300619222482495,-0.13678012900213207
0,0.7000000000000001,base,allenai/Olmo-3-1025-7B,given,male,carpenter,yes,0.373427626649664,0.30162843916507837,0.8409580357869464,10,male,0,0,0,0,0.3427909802030929,0.4995335682953581,-0.639072054723853,0.32835460639032366
0,0.7000000000000001,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,male,carpenter,yes,0.22740820717799795,0.28892471680842646,0.9338358994628351,10,male,0,0,1,0,0.3427909802030929,-0.6548571873656835,-0.7371633297087957,0.47002515345729595
0,0.7000000000000001,rlvr,allenai/Olmo-3-7B-Instruct,given,male,carpenter,yes,0.2664302413421521,0.32640448921843146,0.8342879961350711,10,male,0,0,0,1,0.3427909802030929,-0.3463593473579724,-0.44401168662787915,0.3177060123790024
0,0.7000000000000001,sft,allenai/Olmo-3-7B-Instruct-SFT,given,male,carpenter,yes,0.2666832681206571,0.3598719917516543,0.8521589168238762,10,male,0,1,0,0,0.3427909802030929,-0.34435898483703,-0.17303417715387523,0.3460853743346035
0,1.0,base,allenai/Olmo-3-1025-7B,given,male,carpenter,yes,0.20932663456060926,0.47804049377306845,1.7181791229513017,10,male,0,0,0,0,1.3711639208123716,-0.7978052990131046,0.8454772449202723,1.3558493307728539
0,1.0,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,male,carpenter,yes,0.10815928898070554,0.46996314244172505,1.6740200622603294,10,male,0,0,1,0,1.3711639208123716,-1.5976074687160757,0.7730325877027898,1.3157844588079506
0,1.0,rlvr,allenai/Olmo-3-7B-Instruct,given,male,carpenter,yes,0.13186004229420598,0.4426520722047222,1.4941299995929,10,male,0,0,0,1,1.3711639208123716,-1.4102356066288095,0.5310211325676011,1.1432636865844092
0,1.0,sft,allenai/Olmo-3-7B-Instruct-SFT,given,male,carpenter,yes,0.1424129600813816,0.3785242162375916,1.9339698894607522,10,male,0,1,0,0,1.3711639208123716,-1.3268070408747155,-0.018464032252113585,1.5405368824286332
1,0.2,base,allenai/Olmo-3-1025-7B,given,female,carpenter,yes,0.5064750173248798,0.19897655149206525,0.1947920526674145,10,female,1,0,0,0,-1.371163920812372,1.5513709089450711,-1.3901826971203959,-1.3699630329878372
1,0.2,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,female,carpenter,yes,0.3640023445824774,0.18501489917838013,0.20634217803412552,10,female,1,0,1,0,-1.371163920812372,0.42501979110581584,-1.4842589008067129,-1.3120065122680429
